model,R2,RMSE
Lasso(alpha=0.0),0.9997146941927332,0.048183092165342466
LinearRegression,0.9997141756768886,0.04822685635631206
RidgeCV(alpha=0.6102564102564102),0.9997140193291693,0.04824004475132284
